,product_Nom,product_Marque,product_Categorie,product_Prix
248,DAVINES THE SPOTLIGHT CIRCLE 750ML 77001,ARNAUD,Premium,310.02
249,DAVINES THE WAKE UP CIRCLE 50ML 77004,ARNAUD,Premium,445.02
250,DAVINES THE WAKE UP CIRCLE 750ML 77005,ARNAUD,Premium,445.02
251,DAVINES THIS IS A SEA SALT SPRAY 250ML 87085,ARNAUD,Premium,445.02
252,DAVINES VOLU SHAMPOOING 250ML 75052,ACADEMIE,Premium,540.0
253,DAVINES YOUR HAIR ASSISTANT DUO VOLUME CREATOR 9G+BRUSH,ACADEMIE,Premium,520.0
254,DAVINES YOUR HAIR ASSISTANT VOLUME CREATOR BRUSH,ACADEMIE,Premium,540.0
255,ESTHEDERM ADAPTASUN SPRAY LACTE PROTECTEUR CORPS 150ML,ACADEMIE,Premium,520.0
256,ESTHEDERM AHA PEEL SERUM CONCENTRE 30ML,ACADEMIE,Premium,540.0
257,ESTHEDERM BAUME FERMETE HAUTE NUTRITION 200ML,ACADEMIE,Premium,344.0
258,ESTHEDERM BRONZ REPAIR SOIN PROTECTEUR ANTI RIDES FERMETE 50ML,ACADEMIE,Premium,324.0
259,ESTHEDERM BRONZE IMPULSE SPRAY VISAGE ET CORPS 150ML,ACADEMIE,Premium,568.0
260,ESTHEDERM CONCENTRE CELLULAIRE SERUM 30ML,ACADEMIE,Premium,296.0
261,ESTHEDERM CREME GALBANT BUST 200ML,ACADEMIE,Premium,512.0
